,id,reference,predicted,1-gram,2-gram,3-gram,4-gram,cumulative,1-gram_smoothed,2-gram_smoothed,3-gram_smoothed,4-gram_smoothed,cumulative_smoothed
0,377872472_35805fc143,"[['one', 'dog', 'is', 'standing', 'whilst', 'two', 'other', 'dogs', 'are', 'running', 'in', 'the', 'snow'], ['three', 'dogs', 'are', 'playing', 'around', 'in', 'the', 'snow'], ['three', 'dogs', 'chasing', 'each', 'other', 'in', 'the', 'snow'], ['three', 'dogs', 'play', 'in', 'snow'], ['two', 'dogs', 'play', 'together', 'in', 'the', 'snow']]",a dog running through the snow,0.6666666666666666,0.2,2.2250738585072626e-308,2.2250738585072626e-308,9.013778876140909e-155,0.6666666666666666,0.2,0.025,0.03333333333333333,0.10266900960803409
1,377872672_d499aae449,"[['four', 'dogs', 'play', 'in', 'the', 'snow', 'with', 'the', 'city', 'skyline', 'behind', 'them'], ['the', 'dogs', 'are', 'playing', 'in', 'the', 'snow'], ['three', 'dogs', 'are', 'in', 'the', 'snow', 'and', 'one', 'is', 'wearing', 'a', 'winter', 'coat'], ['three', 'dogs', 'playing', 'in', 'the', 'snow', 'while', 'one', 'dog', 'wears', 'a', 'jacket'], ['three', 'dogs', 'playing', 'in', 'the', 'snow', 'with', 'a', 'city', 'in', 'the', 'background']]",a man and a dog are running in the snow,0.5731115271545874,0.18194016735066265,0.10234134413474777,1.8217363958297824e-308,3.7340153271728114e-78,0.5731115271545874,0.18194016735066265,0.10234134413474777,0.01169615361539975,0.10569768572329603
2,378170167_9b5119d918,"[['a', 'white', 'dog', 'is', 'running', 'along', 'a', 'path', 'outside'], ['a', 'white', 'dog', 'travels', 'along', 'a', 'narrow', 'path', 'in', 'a', 'park', 'setting'], ['a', 'yellow', 'dog', 'running', 'along', 'a', 'forest', 'path'], ['the', 'twotone', 'dog', 'is', 'running', 'down', 'the', 'trail'], ['white', 'dog', 'traveling', 'alone', 'down', 'a', 'paved', 'path', 'through', 'some', 'woods']]",a dog running through the snow,0.5971094254781577,0.14330626211475786,1.594335087959687e-308,1.594335087959687e-308,6.829195976849487e-155,0.5971094254781577,0.14330626211475786,0.017913282764344732,0.02388437701912631,0.07778610913323007
3,378453580_21d688748e,"[['a', 'dog', 'is', 'jumping', 'over', 'a', 'log', 'in', 'a', 'wooded', 'area', 'while', 'carrying', 'another', 'log'], ['a', 'dog', 'with', 'a', 'stick', 'in', 'his', 'mouth', 'jumps', 'over', 'a', 'fallen', 'tree', 'in', 'the', 'forest'], ['dog', 'carries', 'stick', 'and', 'jumps', 'over', 'a', 'log'], ['the', 'dog', 'carries', 'a', 'stick', 'and', 'jumps', 'over', 'a', 'log', 'in', 'the', 'woods'], ['the', 'dog', 'jumps', 'over', 'the', 'log', 'with', 'a', 'stick', 'in', 'its', 'mouth']]",a dog jumping through the air,0.47768754038252614,0.14330626211475786,1.594335087959687e-308,1.594335087959687e-308,6.458654791343583e-155,0.47768754038252614,0.14330626211475786,0.017913282764344732,0.02388437701912631,0.07356556000975763
4,379006645_b9a2886b51,"[['a', 'black', 'and', 'brown', 'dog', 'is', 'running', 'between', 'two', 'cement', 'barriers', 'with', 'snow'], ['a', 'dog', 'runs', 'down', 'the', 'cold', 'aisle'], ['black', 'and', 'tan', 'small', 'dog', 'walking', 'with', 'perked', 'ears'], ['the', 'black', 'and', 'brown', 'dog', 'walks', 'toward', 'the', 'camera', 'in', 'an', 'enclosed', 'snowy', 'area'], ['the', 'brown', 'and', 'black', 'dog', 'is', 'running', 'through', 'a', 'snowy', 'street']]",a dog jumping off a dock,0.28216057496353797,0.16929634497812282,1.8834843577582417e-308,1.8834843577582417e-308,6.416038883891965e-155,0.28216057496353797,0.16929634497812282,0.021162043122265353,0.0282160574963538,0.07308015504567583
5,380034515_4fbdfa6b26,"[['a', 'furry', 'dog', 'is', 'running', 'through', 'a', 'doorway', 'leading', 'to', 'plants'], ['a', 'furry', 'tan', 'dog', 'is', 'outside', 'on', 'a', 'patio'], ['a', 'short', 'furry', 'dog', 'stands', 'on', 'a', 'brick', 'floor', 'in', 'front', 'of', 'a', 'group', 'of', 'potted', 'plants'], ['a', 'very', 'hairy', 'dog', 'is', 'running', 'down', 'a', 'hall'], ['flowers', 'are', 'behind', 'the', 'fluffy', 'dog', 'that', 'is', 'coming', 'up', 'the', 'step']]",a dog jumps over a log,0.3032653298563167,1.3495755153097447e-308,1.3495755153097447e-308,1.3495755153097447e-308,9.291879812217675e-232,0.3032653298563167,0.012130613194252668,0.015163266492815837,0.02021768865708778,0.03258798048281462
6,380041023_0dfd712ef1,"[['a', 'brown', 'and', 'black', 'dog', 'runs', 'through', 'the', 'leaves'], ['a', 'brown', 'dog', 'is', 'running'], ['a', 'brown', 'dog', 'with', 'a', 'red', 'collar', 'jumping', 'across', 'a', 'leafy', 'lawn'], ['a', 'dog', 'with', 'a', 'brindlecolored', 'coat', 'is', 'running', 'across', 'the', 'yard'], ['the', 'brown', 'dog', 'is', 'wearing', 'a', 'red', 'collar']]",a brown dog is jumping up to catch a ball,0.6,0.3333333333333333,0.25,0.14285714285714285,0.2907153684841096,0.6,0.3333333333333333,0.25,0.14285714285714285,0.2907153684841096
7,380515798_c2abbf46b0,"[['a', 'crowd', 'walks', 'along', 'a', 'sidewalk', 'of', 'a', 'farmers', 'market'], ['a', 'street', 'market', 'filled', 'with', 'white', 'tents', 'pedestrians', 'and', 'vendors'], ['a', 'woman', 'looks', 'over', 'a', 'table', 'of', 'organic', 'vegetables', 'at', 'a', 'farmer', 's', 'market'], ['men', 'and', 'women', 'walking', 'on', 'the', 'sidewalk', 'outside', 'a', 'marketplace'], ['street', 'with', 'many', 'white', 'tents', 'with', 'display', 'table', 'with', 'people', 'walking', 'nearby']]",a woman in a red coat and black pants is walking on a sidewalk,0.5714285714285714,0.23076923076923078,2.2250738585072626e-308,2.2250738585072626e-308,8.988913042377078e-155,0.5714285714285714,0.23076923076923078,0.008333333333333335,0.009090909090909096,0.05622008276590379
8,380527679_574749123d,"[['a', 'fruit', 'stand', 'with', 'a', 'group', 'of', 'people', 'standing', 'around', 'it'], ['a', 'group', 'of', 'people', 'are', 'standing', 'in', 'linet', 'at', 'a', 'fruit', 'stand'], ['a', 'group', 'of', 'people', 'shop', 'for', 'fruit', 'at', 'an', 'urban', 'farmers', 'market'], ['many', 'people', 'stand', 'near', 'a', 'fruit', 'vendor', 'on', 'a', 'street'], ['people', 'shopping', 'at', 'a', 'fruit', 'stand']]",a woman in a red coat and black pants is walking on a sidewalk,0.2857142857142857,0.07692307692307693,2.2250738585072626e-308,2.2250738585072626e-308,5.74340400309589e-155,0.2857142857142857,0.07692307692307693,0.008333333333333335,0.009090909090909096,0.03592143420342892
9,380537190_11d6c0a412,"[['a', 'group', 'of', 'people', 'stand', 'at', 'a', 'farmers', 'market', 'on', 'a', 'dreary', 'day'], ['a', 'white', 'tented', 'fruit', 'stand', 'with', 'several', 'people', 'shopping', 'in', 'it'], ['people', 'shop', 'for', 'fresh', 'produce', 'at', 'an', 'outdoor', 'market', 'in', 'the', 'city'], ['people', 'visiting', 'a', 'street', 'market'], ['several', 'people', 'shop', 'at', 'an', 'outdoor', 'farmer', 's', 'market', 'on', 'a', 'cloudy', 'day']]",a group of people sit on a bench,0.75,0.5714285714285714,0.3333333333333333,0.2,0.4111336169005197,0.75,0.5714285714285714,0.3333333333333333,0.2,0.4111336169005197
